trial,stimWord,stimColor,condition,leftWord,leftColor,rightWord,rightColor,response,stimImage,leftImage,rightImage
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,17.png,20.png,19.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,31.png,25.png,18.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,23.png,19.png,24.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,23.png,30.png,29.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,17.png,21.png,20.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,21.png,25.png,28.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,17.png,25.png,18.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,29.png,30.png,21.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,25.png,19.png,26.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,31.png,23.png,28.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,23.png,20.png,21.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,31.png,23.png,30.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,29.png,30.png,21.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,19.png,23.png,28.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,21.png,26.png,23.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,21.png,27.png,30.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,21.png,26.png,19.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,21.png,18.png,27.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,23.png,24.png,25.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,23.png,31.png,24.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,25.png,23.png,26.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,25.png,17.png,18.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,17.png,22.png,19.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,29.png,18.png,25.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,29.png,31.png,32.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,17.png,22.png,31.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,27.png,30.png,17.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,19.png,30.png,29.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,31.png,29.png,24.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,17.png,28.png,23.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,17.png,32.png,21.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,31.png,32.png,25.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,31.png,32.png,29.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,17.png,21.png,24.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,19.png,24.png,27.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,31.png,19.png,30.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,29.png,22.png,25.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,27.png,32.png,17.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,25.png,29.png,26.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,25.png,18.png,27.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,25.png,32.png,21.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,25.png,22.png,31.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,27.png,22.png,31.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,29.png,18.png,17.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,17.png,21.png,20.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,23.png,24.png,25.png
,HAPPY,white,happy,HAPPY,white,ANGRY,white,buttonA,23.png,26.png,31.png
