trial,stimWord,stimColor,condition,leftWord,leftColor,rightWord,rightColor,response,stimImage,leftImage,rightImage
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,1.png,3.png,14.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,11.png,13.png,4.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,11.png,9.png,6.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,1.png,12.png,3.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,11.png,14.png,1.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,9.png,3.png,4.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,5.png,6.png,9.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,15.png,2.png,9.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,5.png,4.png,1.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,1.png,10.png,5.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,15.png,13.png,4.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,7.png,13.png,10.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,3.png,14.png,13.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,7.png,1.png,14.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,11.png,3.png,16.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,1.png,13.png,4.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,3.png,7.png,12.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,9.png,14.png,3.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,15.png,3.png,2.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,9.png,11.png,2.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,7.png,6.png,5.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,13.png,12.png,9.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,15.png,1.png,2.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,9.png,4.png,7.png
,GAIN,white,gain,GAIN,white,LOSS,white,buttonA,13.png,6.png,3.png
